age,length,weight,maturity,natmort
1,45.5383,1.9566,0.000617832463703172,0.6788
2,55.8189,3.6483,0.000617819909779826,0.5538
3,65.3151,5.9006,0.00625273498891554,0.4733
4,77.043,9.7611,0.266193636583079,0.4013
5,88.0289,14.6479,0.720329030774394,0.3512
6,92.2603,16.9184,0.942985198334557,0.3351
7,95.2727,18.674,0.99949996141633,0.3245
8,97.4174,19.9972,0.996698371325525,0.3173
9,98.9442,20.9776,0.977279305403026,0.3124
10,100.0311,21.6953,0.956933869446909,0.309
11,100.805,22.2165,0.939881938893893,0.3067
12,101.3559,22.5927,0.926492381582514,0.305
