year,area,sb
1954,1,870900
1955,1,859490
1956,1,838380
1957,1,827170
1958,1,817560
1959,1,808650
1960,1,781730
1961,1,716750
1962,1,635930
1963,1,525890
1964,1,441800
1965,1,420350
1966,1,442320
1967,1,441150
1968,1,371910
1969,1,307050
1970,1,283890
1971,1,261610
1972,1,236850
1973,1,209800
1974,1,173420
1975,1,151540
1976,1,169130
1977,1,222120
1978,1,260100
1979,1,247110
1980,1,215470
1981,1,181380
1982,1,163870
1983,1,168450
1984,1,188730
1985,1,197960
1986,1,198500
1987,1,199950
1988,1,203660
1989,1,183510
1990,1,166860
1991,1,175280
1992,1,202210
1993,1,213130
1994,1,215240
1995,1,224820
1996,1,232240
1997,1,237410
1998,1,255200
1999,1,256610
2000,1,251100
2001,1,222990
2002,1,204160
2003,1,198810
2004,1,195690
2005,1,226750
2006,1,252370
2007,1,249540
2008,1,227210
2009,1,220740
2010,1,229560
2011,1,238490
2012,1,256750
2013,1,255070
2014,1,275200
2015,1,289130
2016,1,258120
2017,1,240550
2018,1,237760
2019,1,226500
2020,1,192200
2021,1,194820
2022,1,251440
1954,2,320560
1955,2,306920
1956,2,305880
1957,2,303570
1958,2,300480
1959,2,301330
1960,2,296740
1961,2,280240
1962,2,256700
1963,2,222440
1964,2,186760
1965,2,168710
1966,2,170090
1967,2,171550
1968,2,153250
1969,2,129460
1970,2,117200
1971,2,107900
1972,2,98049
1973,2,85296
1974,2,74529
1975,2,66861
1976,2,65780
1977,2,77534
1978,2,92010
1979,2,91654
1980,2,85118
1981,2,76714
1982,2,69177
1983,2,66812
1984,2,70587
1985,2,73504
1986,2,74735
1987,2,75285
1988,2,75397
1989,2,70879
1990,2,67518
1991,2,67918
1992,2,74397
1993,2,79911
1994,2,81236
1995,2,85449
1996,2,87623
1997,2,89830
1998,2,94598
1999,2,97885
2000,2,95602
2001,2,87684
2002,2,83672
2003,2,80714
2004,2,76594
2005,2,85868
2006,2,92746
2007,2,95475
2008,2,93186
2009,2,88539
2010,2,93531
2011,2,99352
2012,2,96575
2013,2,94637
2014,2,99051
2015,2,102500
2016,2,89015
2017,2,84340
2018,2,84394
2019,2,79595
2020,2,76189
2021,2,73386
2022,2,74728
