year,season,fishery,area,obs,pred
1954,3,18,1,4.41055265411286,5.08349999627339
1955,3,18,1,3.14558536994056,4.79224985749702
1956,3,18,1,3.55729348962612,4.65527041341035
1957,3,18,1,3.81522637074637,4.53125978922861
1958,3,18,1,4.19964500878792,4.41055265411286
1959,3,18,1,5.01784219669716,4.25885353150056
1960,3,18,1,6.09214355947096,4.13712044025139
1961,3,18,1,5.98945246638311,3.98285938585551
1962,3,18,1,4.31889680313948,3.72102809602082
1963,3,18,1,2.67567049158485,3.34009750608129
1964,3,18,1,2.42249984306371,2.92121609362507
1965,3,18,1,2.71610807261455,2.48258411612847
1966,3,18,1,2.44807010034027,2.08777728487615
1967,3,18,1,1.94740944576486,1.88080523193448
1968,3,18,1,1.7146346056709,1.80507113322996
1969,3,18,1,1.65433646343886,1.6929964393691
1970,3,18,1,1.54774649679999,1.46491907201822
1971,3,18,1,1.23417162988813,1.22458253725293
1972,3,18,1,1.07338799863867,1.04769236713855
1973,3,18,1,0.989099841977778,0.867708022949814
1974,3,18,1,0.580305842365379,0.727457282407998
1975,3,18,1,0.588134274005985,0.691218013938206
1976,3,18,1,0.851036721790132,0.701383826797495
1977,3,18,1,0.863035028067439,0.677327751419737
1978,3,18,1,0.935241962265857,0.746469888292486
1979,3,18,1,0.811882218865155,0.878095430920561
1980,3,18,1,0.857958113028482,0.937789283189168
1981,3,18,1,0.969776157091795,0.851547497040458
1982,3,18,1,0.754198260935878,0.73454795219917
1983,3,18,1,0.847300386180549,0.672804824210878
1984,3,18,1,0.696978998466873,0.665377985869836
1985,3,18,1,0.700122471469621,0.719786959744245
1986,3,18,1,0.916796271401842,0.758737053262104
1987,3,18,1,0.932701560640946,0.808075325643413
1988,3,18,1,0.933672074843922,0.771900209205252
1989,3,18,1,0.687701776095063,0.758206123172031
1990,3,18,1,0.777011599620041,0.761625739091524
1991,3,18,1,0.655734039393442,0.714837524909058
1992,3,18,1,0.872493565253825,0.689630039376925
1993,3,18,1,0.879149777919344,0.741411112383323
1994,3,18,1,0.948740465368752,0.797080182386076
1995,3,18,1,0.883114866678604,0.850016090225398
1996,3,18,1,0.837277267422486,0.860449802760116
1997,3,18,1,0.952085916346282,0.889585193163411
1998,3,18,1,0.856586477648556,0.847215660378292
1999,3,18,1,0.612687659887069,0.882496902584595
2000,3,18,1,0.67929485281727,0.922000051102352
2001,3,18,1,0.663384843121207,0.850611309791099
2002,3,18,1,0.69586472372683,0.641593726741649
2003,3,18,1,0.520429940692978,0.534512586830556
2004,3,18,1,0.457947834420542,0.541235927501864
2005,3,18,1,0.57001078344952,0.518663483573411
2006,3,18,1,0.692532576603756,0.560514593631374
2007,3,18,1,0.76330316020419,0.622009445914843
2008,3,18,1,0.557997944667046,0.671729197223198
2009,3,18,1,0.644358519811655,0.629455574918482
2010,3,18,1,0.6298333615881,0.467339175062547
2011,3,18,1,0.472791874004341,0.50288186364298
2012,3,18,1,0.561019283842171,0.56739475532327
2013,3,18,1,0.518611619818285,0.566884329769432
2014,3,18,1,0.53424539734008,0.566147858950484
2015,3,18,1,0.610485949767537,0.605803259448425
