year,season,fishery,ess,length,obs,pred
12,3,3,127.399,30,0,0
12,3,3,127.399,32,0,0
12,3,3,127.399,34,0,0
12,3,3,127.399,36,0,0
12,3,3,127.399,38,0,0
12,3,3,127.399,40,0,0
12,3,3,127.399,42,0,0
12,3,3,127.399,44,0,0
12,3,3,127.399,46,0,0
12,3,3,127.399,48,0,0
12,3,3,127.399,50,0,0
12,3,3,127.399,52,0,0
12,3,3,127.399,54,0,0
12,3,3,127.399,56,0,0
12,3,3,127.399,58,0,0
12,3,3,127.399,60,0,0
12,3,3,127.399,62,0,0
12,3,3,127.399,64,0,0
12,3,3,127.399,66,0,0
12,3,3,127.399,68,0,0
12,3,3,127.399,70,0,1e-04
12,3,3,127.399,72,0,0.0015
12,3,3,127.399,74,0,0.0039
12,3,3,127.399,76,0,0.0085
12,3,3,127.399,78,0.00471499,0.0167
12,3,3,127.399,80,0.012216,0.0296
12,3,3,127.399,82,0.0403448,0.0475
12,3,3,127.399,84,0.111604,0.069
12,3,3,127.399,86,0.161379,0.0907
12,3,3,127.399,88,0.157951,0.1082
12,3,3,127.399,90,0.1033,0.1174
12,3,3,127.399,92,0.10898,0.1161
12,3,3,127.399,94,0.130519,0.105
12,3,3,127.399,96,0.0786011,0.0874
12,3,3,127.399,98,0.0518649,0.0673
12,3,3,127.399,100,0.01886,0.0484
12,3,3,127.399,102,0.0173061,0.0327
12,3,3,127.399,104,0.00117875,0.021
12,3,3,127.399,106,0,0.0129
12,3,3,127.399,108,0.00117875,0.0076
12,3,3,127.399,110,0,0.004
12,3,3,127.399,112,0,0.0023
12,3,3,127.399,114,0,0.0011
12,3,3,127.399,116,0,6e-04
12,3,3,127.399,118,0,3e-04
12,3,3,127.399,120,0,1e-04
12,3,3,127.399,122,0,0
12,3,3,127.399,124,0,0
12,3,3,127.399,126,0,0
12,3,3,127.399,128,0,0
12,4,3,682.2605,30,0,0
12,4,3,682.2605,32,0,0
12,4,3,682.2605,34,0,0
12,4,3,682.2605,36,0,0
12,4,3,682.2605,38,0,0
12,4,3,682.2605,40,0,0
12,4,3,682.2605,42,0,0
12,4,3,682.2605,44,0,0
12,4,3,682.2605,46,0,0
12,4,3,682.2605,48,0,0
12,4,3,682.2605,50,0,0
12,4,3,682.2605,52,0,0
12,4,3,682.2605,54,0,0
12,4,3,682.2605,56,0,0
12,4,3,682.2605,58,0,0
12,4,3,682.2605,60,1e-04,0
12,4,3,682.2605,62,1e-04,1e-04
12,4,3,682.2605,64,3e-04,2e-04
12,4,3,682.2605,66,6e-04,5e-04
12,4,3,682.2605,68,0.0016,9e-04
12,4,3,682.2605,70,0.0024,0.0018
12,4,3,682.2605,72,0.0078,0.0041
12,4,3,682.2605,74,0.0141,0.0075
12,4,3,682.2605,76,0.0227,0.013
12,4,3,682.2605,78,0.0373,0.0214
12,4,3,682.2605,80,0.0473,0.0332
12,4,3,682.2605,82,0.07,0.0488
12,4,3,682.2605,84,0.105,0.0673
12,4,3,682.2605,86,0.119,0.0864
12,4,3,682.2605,88,0.1585,0.1026
12,4,3,682.2605,90,0.1151,0.1121
12,4,3,682.2605,92,0.1177,0.1124
12,4,3,682.2605,94,0.0759,0.1032
12,4,3,682.2605,96,0.0393,0.0871
12,4,3,682.2605,98,0.0399,0.0677
12,4,3,682.2605,100,0.0127,0.0487
12,4,3,682.2605,102,0.0051,0.0328
12,4,3,682.2605,104,0.0052,0.0208
12,4,3,682.2605,106,0.0023,0.0126
12,4,3,682.2605,108,1e-04,0.0074
12,4,3,682.2605,110,0,0.0034
12,4,3,682.2605,112,0,0.002
12,4,3,682.2605,114,0,0.001
12,4,3,682.2605,116,0,6e-04
12,4,3,682.2605,118,0,3e-04
12,4,3,682.2605,120,0,1e-04
12,4,3,682.2605,122,0,0
12,4,3,682.2605,124,0,0
12,4,3,682.2605,126,0,0
12,4,3,682.2605,128,0,0
13,1,3,1864.5552,30,0,0
13,1,3,1864.5552,32,0,0
13,1,3,1864.5552,34,0,0
13,1,3,1864.5552,36,0,0
13,1,3,1864.5552,38,0,0
13,1,3,1864.5552,40,0,0
13,1,3,1864.5552,42,0,0
13,1,3,1864.5552,44,0,0
13,1,3,1864.5552,46,0,0
13,1,3,1864.5552,48,0,0
13,1,3,1864.5552,50,0,0
13,1,3,1864.5552,52,0,0
13,1,3,1864.5552,54,0,0
13,1,3,1864.5552,56,0,0
13,1,3,1864.5552,58,1e-04,0
