year,rec,catch,tb,sb,sbf0,dep,f
1954,146282200,8016.49,2299340,1191460,1191460,1,0.003486
1955,146282200,11047.1,2272790,1166410,1173400,0.994042952104994,0.00486
1956,161224200,7491.83,2278580,1144260,1159550,0.986813850200509,0.003288
1957,89601500,11200.8,2152100,1130740,1149270,0.983876721745108,0.005205
1958,101193200,17225.2,2054440,1118040,1141970,0.979044983668573,0.008384
1959,46760760,24500.3,1857030,1109980,1143430,0.970745913610803,0.01319
1960,29508360,26430.1,1624150,1078470,1125520,0.958197100007108,0.01627
1961,81733800,28076.4,1499780,996990,1056520,0.943654639760724,0.01872
1962,105297800,33302.5,1437050,892630,963030,0.926897396758149,0.02317
1963,137989000,31566.5,1440570,748330,831450,0.900030067953575,0.02191
1964,40837950,28056.6,1285600,628560,718750,0.874518260869565,0.02182
1965,16217550,29127.8,1127790,589060,680910,0.865106989176249,0.02583
1966,72317700,48718.4,1105560,612410,706860,0.866380895792661,0.04407
1967,50711930,52313.8,1013510,612700,727080,0.842685811740111,0.05162
1968,54781060,43622.5,910350,525160,658850,0.797085831372847,0.04792
1969,47181530,33607.6,829190,436510,576500,0.757172593235039,0.04053
1970,32165970,38836.8,754280,401090,536620,0.747437665387052,0.05149
1971,35647290,47813.7,687080,369510,505620,0.730805743443693,0.06959
1972,41405380,47301.1,633430,334899,479740,0.698084379038646,0.07467
1973,76638600,50553.1,655170,295096,447330,0.659683008070105,0.07716
1974,108061900,43348.4,739070,247949,408220,0.607390622703444,0.05865
1975,52907990,22801.8,726100,218401,378590,0.576880002113104,0.0314
1976,29652090,19663.4,698470,234910,378730,0.620257175296385,0.02815
1977,31083390,36525.2,687770,299654,430070,0.696756341990839,0.05311
1978,36689460,43629.3,659600,352110,488540,0.720739345805871,0.06614
1979,46353650,31674.9,623300,338764,486830,0.695856869954604,0.05082
1980,65957200,35879.1,637870,300588,446040,0.673903685768093,0.05625
1981,53661600,36130.9,630110,258094,403540,0.639574763344402,0.05734
1982,45075100,34359.7,614410,233047,377180,0.617866800996872,0.05592
1983,53034720,28382.8,625760,235262,376890,0.624219268221497,0.04536
1984,66123200,29615.4,669190,259317,394380,0.657530807850297,0.04426
1985,27961060,29584.6,626540,271464,401770,0.675670159544018,0.04722
1986,50622550,36255.6,627430,273235,401500,0.680535491905355,0.05778
1987,44036360,28238.3,612400,275235,411010,0.669655239531885,0.04611
1988,82183500,40679.2,677660,279057,415150,0.672183548115139,0.06003
1989,81086800,62015.9,720700,254389,397470,0.640020630487836,0.08605
1990,34863500,32925,656020,234378,388690,0.602994674419203,0.05019
1991,87080700,36972.2,730280,243198,399060,0.609427153811457,0.05063
1992,53765390,43976.5,739260,276607,441740,0.626176031149545,0.05949
1993,67551400,39270.3,755790,293041,467020,0.627469915635305,0.05196
1994,72705600,45741.7,784160,296476,470990,0.629474086498652,0.05833
1995,95210500,36768.4,852660,310269,490950,0.631976779712802,0.04312
1996,55836600,44743,841940,319863,496080,0.644781083696178,0.05314
1997,49634230,41378.5,812780,327240,506250,0.6464,0.05091
1998,33311930,61607.1,758840,349798,531610,0.657997404112037,0.08118
1999,116829800,39177.3,846600,354495,556430,0.637088223136783,0.04628
2000,29639880,49197.1,772630,346702,543760,0.637601147565102,0.06368
2001,109996600,64497.7,847050,310674,507650,0.611984635083227,0.07614
2002,106586700,82612.5,914480,287832,497080,0.579045626458518,0.09034
2003,87772500,73290,925080,279524,519340,0.538229291023222,0.07923
2004,57340100,72123.3,884590,272284,523620,0.520003055651045,0.08153
2005,57251500,79553.7,862710,312618,576180,0.542570030198896,0.09221
2006,91626900,75972.1,890900,345116,628710,0.5489271683288,0.08528
2007,118511000,68248.4,962490,345015,642340,0.537122084877168,0.07091
2008,81424900,66417.2,960490,320396,617560,0.518809508387849,0.06915
2009,80169600,86916.2,965990,309279,600830,0.51475292512025,0.08998
2010,103952900,102354,1010960,323091,629390,0.513339900538617,0.1012
2011,134366100,73830.5,1093080,337842,671700,0.502965609647164,0.06754
2012,50190300,90612.5,1025340,353325,682560,0.517646800281294,0.08837
2013,75213700,98099.6,993580,349707,690600,0.506381407471764,0.09873
2014,96781600,93619,1012140,374251,729960,0.512700695928544,0.0925
2015,90353700,100583,1007960,391630,757090,0.517283282040444,0.09979
2016,48722730,93449.5,900780,347135,723000,0.480131396957123,0.1037
2017,56059100,98430.3,837680,324890,700940,0.463506148885782,0.1175
2018,128514800,93320.2,921910,322154,702790,0.458392976564834,0.1012
2019,108185800,84654.9,958450,306095,687150,0.445455868442116,0.08833
2020,83635100,84611.5,948960,268389,639800,0.419488902782119,0.08916
2021,66366200,79126.5,924700,268206,629560,0.426021348243217,0.08557
2022,71215500,82060.3,927580,326168,681120,0.478870096311957,0.08847
